package_id,tracking_number,event_order,event_type,event_status,event_timestamp,event_location,event_city,event_prefecture,event_latitude,event_longitude,event_temperature,event_temperature_issue,event_rfid_success_percent,event_rfid_failure_percent,event_rfid_verified,origin_location,origin_city,origin_prefecture,origin_latitude,origin_longitude,delivery_location,delivery_city,delivery_prefecture,delivery_latitude,delivery_longitude,final_status,perishable,final_temperature,final_temperature_issue,rfid_number,rfid_verified,rfid_failure_percent,rfid_failure_label,rfid_success_percent,rfid_success_label,delivery_exception_reason,order_date,estimated_delivery_date,latest_scan_timestamp,order_week,route_distance_km,estimated_transit_hours,package_count_flag,final_event_flag,delivered_package_flag,in_transit_package_flag,not_delivered_package_flag,perishable_package_flag,event_count_flag,map_path_id,map_path_order,tooltip_summary
PKG001,KZJP2026000001,1,Order Placed,Order Placed,2026-05-03 17:37:43,"Yokote, Akita",Yokote,Akita,39.8156,140.0319,18.04,Ambient,99.91,0.09,YES,"Yokote, Akita",Yokote,Akita,39.8156,140.0319,"Minamisoma, Fukushima",Minamisoma,Fukushima,37.8648,140.4328,Delivered,NO,20.90,Ambient,RFID-KZ-0001,YES,0.42,Low Risk,99.58,Excellent,None,2026-05-03 17:37:43,2026-05-06 09:52:43,2026-05-06 09:52:43,"May 3-9, 2026",219.68,64.25,1,0,0,0,0,0,1,PKG001,1,"PKG001 | Order Placed | Yokote, Akita | 18.04°C | Order Placed"
PKG001,KZJP2026000001,2,Picked Up,Picked Up,2026-05-03 22:46:07,"Origin Pickup Scan - Oga, Akita",Oga,Akita,39.632474,140.034228,19.94,Ambient,99.49,0.51,YES,"Yokote, Akita",Yokote,Akita,39.8156,140.0319,"Minamisoma, Fukushima",Minamisoma,Fukushima,37.8648,140.4328,Delivered,NO,20.90,Ambient,RFID-KZ-0001,YES,0.42,Low Risk,99.58,Excellent,None,2026-05-03 17:37:43,2026-05-06 09:52:43,2026-05-06 09:52:43,"May 3-9, 2026",219.68,64.25,0,0,0,0,0,0,1,PKG001,2,"PKG001 | Picked Up | Origin Pickup Scan - Oga, Akita | 19.94°C | Picked Up"
PKG001,KZJP2026000001,3,Departed Origin Hub,In Transit,2026-05-04 09:41:28,"Regional Sorting Hub - Yuzawa, Akita",Yuzawa,Akita,39.439681,140.137217,19.69,Ambient,99.62,0.38,YES,"Yokote, Akita",Yokote,Akita,39.8156,140.0319,"Minamisoma, Fukushima",Minamisoma,Fukushima,37.8648,140.4328,Delivered,NO,20.90,Ambient,RFID-KZ-0001,YES,0.42,Low Risk,99.58,Excellent,None,2026-05-03 17:37:43,2026-05-06 09:52:43,2026-05-06 09:52:43,"May 3-9, 2026",219.68,64.25,0,0,0,0,0,0,1,PKG001,3,"PKG001 | Departed Origin Hub | Regional Sorting Hub - Yuzawa, Akita | 19.69°C | In Transit"
PKG001,KZJP2026000001,4,In Transit Hub Scan,In Transit,2026-05-05 01:45:13,"Transit Hub Scan - Tendo, Yamagata",Tendo,Yamagata,38.670044,140.268601,19.07,Ambient,99.62,0.38,YES,"Yokote, Akita",Yokote,Akita,39.8156,140.0319,"Minamisoma, Fukushima",Minamisoma,Fukushima,37.8648,140.4328,Delivered,NO,20.90,Ambient,RFID-KZ-0001,YES,0.42,Low Risk,99.58,Excellent,None,2026-05-03 17:37:43,2026-05-06 09:52:43,2026-05-06 09:52:43,"May 3-9, 2026",219.68,64.25,0,0,0,0,0,0,1,PKG001,4,"PKG001 | In Transit Hub Scan | Transit Hub Scan - Tendo, Yamagata | 19.07°C | In Transit"
PKG001,KZJP2026000001,5,Out for Delivery,Out for Delivery,2026-05-05 19:44:37,"Destination Area Scan - Tendo, Yamagata",Tendo,Yamagata,38.344541,140.325438,21.10,Ambient,99.73,0.27,YES,"Yokote, Akita",Yokote,Akita,39.8156,140.0319,"Minamisoma, Fukushima",Minamisoma,Fukushima,37.8648,140.4328,Delivered,NO,20.90,Ambient,RFID-KZ-0001,YES,0.42,Low Risk,99.58,Excellent,None,2026-05-03 17:37:43,2026-05-06 09:52:43,2026-05-06 09:52:43,"May 3-9, 2026",219.68,64.25,0,0,0,0,0,0,1,PKG001,5,"PKG001 | Out for Delivery | Destination Area Scan - Tendo, Yamagata | 21.10°C | Out for Delivery"
PKG001,KZJP2026000001,6,Delivered,Delivered,2026-05-06 09:52:43,"Minamisoma, Fukushima",Minamisoma,Fukushima,37.8648,140.4328,20.90,Ambient,99.58,0.42,YES,"Yokote, Akita",Yokote,Akita,39.8156,140.0319,"Minamisoma, Fukushima",Minamisoma,Fukushima,37.8648,140.4328,Delivered,NO,20.90,Ambient,RFID-KZ-0001,YES,0.42,Low Risk,99.58,Excellent,None,2026-05-03 17:37:43,2026-05-06 09:52:43,2026-05-06 09:52:43,"May 3-9, 2026",219.68,64.25,0,1,1,0,0,0,1,PKG001,6,"PKG001 | Delivered | Minamisoma, Fukushima | 20.90°C | Delivered"
PKG002,KZJP2026000002,1,Order Placed,Order Placed,2026-05-02 09:01:23,"Mine, Yamaguchi",Mine,Yamaguchi,34.228,131.3644,29.89,Danger Zone,96.01,3.99,YES,"Mine, Yamaguchi",Mine,Yamaguchi,34.228,131.3644,"Isehara, Kanagawa",Isehara,Kanagawa,35.4279,139.7608,In Transit,NO,29.00,Danger Zone,RFID-KZ-0002,YES,3.67,Low Risk,96.33,Good,Shipment still within estimated delivery window,2026-05-02 09:01:23,2026-05-05 00:26:23,2026-05-03 20:26:23,Other,777.67,63.42,1,0,0,0,0,0,1,PKG002,1,"PKG002 | Order Placed | Mine, Yamaguchi | 29.89°C | Order Placed"
PKG002,KZJP2026000002,2,Picked Up,Picked Up,2026-05-02 11:51:23,"Origin Pickup Scan - Yamaguchi, Yamaguchi",Yamaguchi,Yamaguchi,34.287713,131.676678,28.19,Danger Zone,97.20,2.80,YES,"Mine, Yamaguchi",Mine,Yamaguchi,34.228,131.3644,"Isehara, Kanagawa",Isehara,Kanagawa,35.4279,139.7608,In Transit,NO,29.00,Danger Zone,RFID-KZ-0002,YES,3.67,Low Risk,96.33,Good,Shipment still within estimated delivery window,2026-05-02 09:01:23,2026-05-05 00:26:23,2026-05-03 20:26:23,Other,777.67,63.42,0,0,0,0,0,0,1,PKG002,2,"PKG002 | Picked Up | Origin Pickup Scan - Yamaguchi, Yamaguchi | 28.19°C | Picked Up"
PKG002,KZJP2026000002,3,Departed Origin Hub,In Transit,2026-05-02 17:52:38,"Regional Sorting Hub - Miyoshi, Hiroshima",Miyoshi,Hiroshima,34.392878,132.515885,27.10,Danger Zone,97.01,2.99,YES,"Mine, Yamaguchi",Mine,Yamaguchi,34.228,131.3644,"Isehara, Kanagawa",Isehara,Kanagawa,35.4279,139.7608,In Transit,NO,29.00,Danger Zone,RFID-KZ-0002,YES,3.67,Low Risk,96.33,Good,Shipment still within estimated delivery window,2026-05-02 09:01:23,2026-05-05 00:26:23,2026-05-03 20:26:23,Other,777.67,63.42,0,0,0,0,0,0,1,PKG002,3,"PKG002 | Departed Origin Hub | Regional Sorting Hub - Miyoshi, Hiroshima | 27.10°C | In Transit"
PKG002,KZJP2026000002,4,In Transit Hub Scan,In Transit,2026-05-03 02:43:53,"Transit Hub Scan - Akaiwa, Okayama",Akaiwa,Okayama,34.587919,133.678059,30.69,Danger Zone,96.41,3.59,YES,"Mine, Yamaguchi",Mine,Yamaguchi,34.228,131.3644,"Isehara, Kanagawa",Isehara,Kanagawa,35.4279,139.7608,In Transit,NO,29.00,Danger Zone,RFID-KZ-0002,YES,3.67,Low Risk,96.33,Good,Shipment still within estimated delivery window,2026-05-02 09:01:23,2026-05-05 00:26:23,2026-05-03 20:26:23,Other,777.67,63.42,0,0,0,0,0,0,1,PKG002,4,"PKG002 | In Transit Hub Scan | Transit Hub Scan - Akaiwa, Okayama | 30.69°C | In Transit"
